item,ContextType,wh-word,Option1,Option2,ContextText,InfoState
1,expert,quoi,On va manger quoi ce soir?,Qu'est-ce qu'on va manger ce soir?,"Un fils, à sa mère qui rentre du marché :","Vu que tu as fait les courses pour le dîner, dis-moi ..."
2,non-expert,quoi,On va manger quoi ce soir?,Qu'est-ce qu'on va manger ce soir?,"Un fils, à son père qui rentre du boulot :","Vu que j'ai super faim, dis-moi ..."
3,expert,où,"Elles sont où, les clefs?","Où elles sont, les clefs?","Une femme qui cherche les clefs de la voiture, à son mari :","Comme tu as rangé la voiture hier soir, dis-moi ..."
4,non-expert,où,"Elles sont où, les clefs?","Où elles sont, les clefs?","Un mari qui cherche les clefs de la voiture, à sa femme :","Comme je suis super pressé, dis-moi ..."
5,expert,combien,Ça coûte à peu près combien une voiture comme ca?,Combien ça coûte à peu près une voiture comme ça?,"Jean, à sa copine, qui a acheté une Clio :","Comme tu viens d'en acheter une, au fait ..."
6,non-expert,combien,Ça coûte à peu près combien une voiture comme ça?,Combien ça coûte à peu près une voiture comme ça?,"Margot, qui montre une Clio dans la rue, à son copain :","Comme j'ai vraiment besoin d'en acheter une, au fait ..."
7,expert,quoi,"Il a fait quoi, le maire?","Qu'est-ce qu'il a fait, le maire?","À propos du dernier scandale à la mairie, Jean, à son copain qui est conseiller municipal :","Vu qu'ils parlent tous de ça, dis-moi ..."
8,non-expert,quoi,"Il a fait quoi, le maire?","Qu'est-ce qu'il a fait, le maire?","Alain, à son copain dans un bar :","Vu qu'ils parlent tous du dernier scandale à la mairie, dis-moi ..."
9,expert,où,"Il est où, ce livre?","Où il est, ce livre?","À la bibliothèque – Amélie, qui cherche le livre Les Misérables, à son copain:","Comme tu bosses ici, au fait ..."
10,non-expert,où,"Il est où, ce livre?","Où il est, ce livre?","À la bibliothèque – Marc, qui cherche le livre Les Misérables, à sa copine :","Comme le prof veut qu'on le lise, au fait ..."
11,expert,combien,"Il coûte à peu près combien, ce jeanss?","Combien il coûte à peu près, ce jeanss?","Nicole, à son copain, qui travaille dans le magasin :","Vu que c'est dans ton rayon, au fait ..."
12,non-expert,combien,"Il coûte à peu près combien, ce jeanss?","Combien il coûte à peu près, ce jeanss?","Oscar, qui montre un jeans à sa copine dans la vitrine :","Vu qu'il serait parfait pour ma soirée de samedi, au fait ..."
13,expert,quoi,On a quoi à réviser pour le prochain examen?,Qu'est-ce qu'on a à réviser pour le prochain examen?,"Adèle, à sa copine, qui prend toujours de bonnes notes de cours:","Comme je suis sûre que tu as bien écouté, au fait ..."
14,non-expert,quoi,On a quoi à réviser pour le prochain examen?,Qu'est-ce qu'on a à réviser pour le prochain examen?,"Marie, à sa copine, qui est parfois distraite :","Comme j'étais pas là au dernier cours, au fait ..."
15,expert,où,Il s'arrête où le train de dix heures?,Où il s'arrête le train de dix heures?,"Antony, à un copain qui prend souvent le train : ","Vu que tu as les horaires dans la main, dis-moi ..."
16,non-expert,où,Il s'arrête où le train de dix heures?,Où il s'arrête le train de dix heures?,"Devant la gare, Francine, à un copain :","Vu qu'il faut que je parte toute suite, dis-moi ..."
17,expert,combien,"Il coûte combien, le plat du jour?","Combien il coûte, le plat du jour?",Deux amis dans un restaurant :,"Comme tu viens ici tous les jours, dis-moi ..."
18,non-expert,combien,"Il coûte combien, le plat du jour?","Combien il coûte, le plat du jour?",Deux amis dans un restaurant :,Comme j'ai pas trop faim ...
19,partial-info,,Il y avait des étudiants de notre laboratoire à cette conférence?,Est-ce qu'il y avait des étudiants de notre laboratoire à cette conférence?,Un étudiant s'adressant à un copain en revenant d'une conférence :,"Comme c'est pas normal, dis-moi ..."
20,no-info,,Il y avait des étudiants de notre laboratoire à cette conférence?,Est-ce qu'il y avait des étudiants de notre laboratoire à cette conférence?,Un étudiant s'adressant à un copain en revenant d'une conférence :,"Comme j’étais pas là, dis-moi ..."
21,partial-info,,Il y avait des drapeaux sur la place?,Est-ce que qu’il y avait des drapeaux sur la place?,Un papa s'adressant à son enfant le lendemain de 14 juillet :,"Comme j’ai rien vu la dernière fois, au fait ..."
22,no-info,,Il y avait des drapeaux sur la place?,Est-ce qu’il y avait des drapeaux sur la place?,Un père s'adressant à son enfant le lendemain du 14 juillet :,"Vu que tu étais là hier soir, au fait ..."
23,partial-info,,Tu as des devoirs à faire pendant les vacances?,Est-ce que tu as des devoirs à faire pendant les vacances?,Une mère s'adressant à son enfant :,"Comme ton prof m'a dit qu’il fallait que tu t’améliores, dis-moi ..."
24,no-info,,Tu as des devoirs à faire pendant les vacances?,Est-ce que tu as des devoirs à faire pendant les vacances?,Un père s'adressant à son enfant :,"Comme je veux planifier une visite à tes grands-parents, dis-moi ..."
25,partial-info,,Il va pleuvoir ce week-end?,Est-ce qu'il va pleuvoir ce week-end?,"Patrick, à sa copine qui lit le journal :","Comme j’ai vu des nuages sur la page météo, dis-moi .."
26,no-info,,Il va pleuvoir ce week-end?,Est-ce qu'il va pleuvoir ce week-end?,"Charlotte, à son copain qui lit le journal :","Comme je veux vraiment aller camper dimanche, dis-moi ..."
27,partial-info,,Tu as bien invité tous ses copains,Est-ce que tu as bien invité tous ses copains?,Une femme à son mari à propos de l'anniversaire de leur fils :,"Comme j'ai la liste devant les yeux, dis-moi ..."
28,no-info,,Tu as bien invité tous ses copains ?,Est-ce que tu as bien invité tous ses copains ?,Un mari à sa femme à propos de l'anniversaire de leur fils :,"Comme je veux vraiment lui faire plaisir, dis-moi ..."
29,partial-info,,Tu vas au marché?,Est-ce que tu vas au marché?,Jeanne à sa colocataire :,"Vu que tu as ton panier à la main, dis-moi ..."
30,no-info,,Tu vas au marché?,Est-ce que tu vas au marché?,Annabelle à sa colocataire :,"Vu que j'ai besoin de légumes pour le dîner, dis-moi ..."
31,partial-info,,Est-ce que les tables sont toutes décorées?,Les tables sont toutes décorées?,Une maman à son fils le jour de son anniversaire :,"Vu que tu as déjà mis les nappes là, dis-moi ..."
32,no-info,,Est-ce que les tables sont toutes décorées?,Les tables sont toutes décorées?,Un papa au téléphone à son fils le jour de son anniversaire :,Vu que la fête commence bientôt ...
33,partial-info,,Toutes les lumières sont bien éteintes?,Est-ce que toutes les lumières sont bien éteintes?,Un père à son fils alors qu'ils quittent la maison :,"J'en vois pas d’ici, mais comme tu oublies toujours, dis-moi ..."
34,no-info,,Toutes les lumières sont bien éteintes?,Est-ce que toutes les lumières sont bien éteintes?,Une mère au téléphone à son fils qui quitte la maison :,"Comme tu pars là maintenant, dis-moi ..."
35,partial-info,,Tu as rendu tous les livres?,Est-ce que tu as rendu tous les livres?,À la bibliothèque – un élève à son copain à la fin du semestre :,"Vu que le dernier semestre tu as oublié, au fait ..."
36,no-info,,Tu as rendu tous les livres?,Est-ce que tu as rendu tous les livres?,À la bibliothèque – un élève à son copain à la fin du semestre :,"Vu que les vacances commencent la semaine prochaine, dis-moi ..."
